SLO,Infinitive,Past,Past Participle
biti,be,was,been
nositi (krivdo),bear,bore,borne/born
tepsti,beat,beat,beaten
postati,become,became,become
začeti,begin,began,begun
ugrizniti,bite,bit,bitten
pihati,blow,blew,blown
zlomiti,break,broke,broken
prinesti (mleko),bring,brought,brought
zgraditi,build,built,built
zažgati,burn,burnt/burned,burnt/burned
izbruhniti,burst,burst,burst
kupiti,buy,bought,bought
lahko (zmagam),can,could,been able to
ujeti,catch,caught,caught
izbrati,choose,chose,chosen
priti,come,came,come
stati (5€),cost,cost,cost
rezati,cut,cut,cut
dogovoriti,deal,dealt,dealt
kopati (jamo),dig,dug,dug
narediti,do,did,done
risati,draw,drew,drawn
sanjati,dream,dreamt/dreamed,dreamt/dreamed
piti,drink,drank,drunk
voziti,drive,drove,driven
jesti,eat,ate,eaten
padati,fall,fell,fallen
nahraniti (psa),feed,fed,fed
čutiti,feel,felt,felt
boriti,fight,fought,fought
najti,find,found,found
leteti,fly,flew,flown
prepovedati,forbid,forbade,forbidden
pozabiti,forget,forgot,forgotten
odpustiti (greh),forgive,forgave,forgiven
zmrzniti,freeze,froze,frozen
dobiti,get,got,gotten
iti (domov),go,went,gone
rasti,grow,grew,grown
obesiti,hang,hung/hanged,hung/hanged
imeti,have,had,had
slišati,hear,heard,heard
skriti,hide,hid,hidden
udariti,hit,hit,hit
držati,hold,held,held
boleti,hurt,hurt,hurt
obdržati,keep,kept,kept
vedeti,know,knew,known
položiti,lay,laid,laid
voditi,lead,led,led
učiti (se),learn,learned/learnt,learned/learnt
zapustiti,leave,left,left
posoditi,lend,lent,lent
pustiti,let,let,let
ležati,lie,lay,lain
sveteti,light,lit,lit
zgubiti,lose,lost,lost
narediti,make,made,made
pomeniti,mean,meant,meant
spoznati,meet,met,met
plačati,pay,paid,pait
postaviti (na mesto),put,put,put
prebrati,read,read,read
voziti,ride,rode,ridden
zvoniti,ring,rang,rung
dvigovati,rise,rose,risen
teči,run,ran,run
reči,say,said,said
gledati,see,saw,seen
iskati,seek,sought,sought
prodati,sell,sold,sold
poslati,send,sent,sent
postaviti,set,set,set
šivati,sew,sewed,sewn
tresti,shake,shook,shaken
svetiti,shine,shone,shone
streljati,shoot,shot,shot
pokazati,show,showed,shown
zapreti,shut,shut,shut
peti,sing,sang,sung
sedeti,sit,sat,sat
spati,sleep,slept,slept
vohati,smell,smelt,smelt
govoriti,speak,spoke,spoken
črkovati,spell,spelt,spelt
zapraviti (denar),spend,spent,spent
politi,spill,spilt,spilt
razvajati,spoil,spoilt,spoilt
razširiti (virus),spread,spread,spread
sprožiti,spring,sprang,sprung
stati (na mizi),stand,stood,stood
krasti,steal,stole,stolen
nalepiti,stick,stuck,stuck
pičiti,sting,stung,stung
stavkati,strike,struck,struck
prisegati,swear,swore,sworn
pometati,sweep,swept,swept
plavati,swim,swam,swum
vzeti,take,took,taken
učiti (njega),teach,taught,taught
trgati,tear,tore,torn
povedati,tell,told,told
misliti,think,thought,thought
vreči,throw,threw,thrown
razumeti,understand,understood,understood
prebuditi (se),wake,woke,woken
nositi,wear,wore,woken
zmagati,win,won,won
pisati,write,wrote,written
